2023-11-22 15:31:23 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 5848
2023-11-22 15:31:23 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-11-22 15:31:23 0 [Note] InnoDB: Uses event mutexes
2023-11-22 15:31:23 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-11-22 15:31:23 0 [Note] InnoDB: Number of pools: 1
2023-11-22 15:31:23 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=402] with future log sequence number 27198350
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=342] with future log sequence number 27198306
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=373] with future log sequence number 27198262
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=325] with future log sequence number 27198218
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 27198174
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 27198130
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=362] with future log sequence number 27198086
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=3] with future log sequence number 27199037
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=660] with future log sequence number 27310765
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=428] with future log sequence number 27198042
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=344] with future log sequence number 27197998
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=5] with future log sequence number 27310743
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=13] with future log sequence number 27310730
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=588] with future log sequence number 27192452
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=459] with future log sequence number 27197938
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=473] with future log sequence number 27197894
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=354] with future log sequence number 27197850
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=394] with future log sequence number 27197806
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=315] with future log sequence number 27197762
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=312] with future log sequence number 27197718
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=311] with future log sequence number 27197674
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=485] with future log sequence number 27197630
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=378] with future log sequence number 27197586
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=509] with future log sequence number 27197542
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=330] with future log sequence number 27197498
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 27197454
